TOOL_NAME,LOTID,GLSID,RECIPEID,MODEL_NAME,TIME_STAMP,PAS연동여부,MP_ALLSTEP.INNER_TEMP.Mean,MP_ALLSTEP.INNER_TEMP.Stdev,MP_ALLSTEP.OUTER_TEMP.Mean,MP_ALLSTEP.OUTER_TEMP.Stdev,MP_ALLSTEP.WALLHTR_TEMP1.Mean,MP_ALLSTEP.WALLHTR_TEMP1.Stdev,MP_STEP1_First10sec.PC_PRESSURE.Area,MP_STEP1_First10sec.PC_PRESSURE.Min,MP_STEP3.MATCHER_VDC.Mean,MP_STEP3.MATCHER_VDC.Stdev,MP_STEP3.MATCHER_VPP.Mean,MP_STEP3.MATCHER_VPP.Stdev,MP_STEP3.N2_FLOW.Mean,MP_STEP3.N2_FLOW.Stdev,MP_STEP3.NH3_FLOW.Mean,MP_STEP3.NH3_FLOW.Stdev,MP_STEP3.PC_PRESSURE.Stdev,MP_STEP3.PC_TV_ANGLE.Mean,MP_STEP3.PC_TV_ANGLE.Stdev,MP_STEP3.RFGEN_FORWARD.Mean,MP_STEP3.RFGEN_FORWARD.Stdev,MP_STEP3_No_Shift.RFGEN_REFLECT.Max,MP_STEP4.MATCHER_VDC.Mean,MP_STEP4.MATCHER_VDC.Stdev,MP_STEP4.MATCHER_VPP.Mean,MP_STEP4.MATCHER_VPP.Stdev,MP_STEP4.N2_FLOW.Mean,MP_STEP4.N2_FLOW.Stdev,MP_STEP4.NH3_FLOW.Mean,MP_STEP4.NH3_FLOW.Stdev,MP_STEP4.PC_PRESSURE.Stdev,MP_STEP4.PC_TV_ANGLE.Mean,MP_STEP4.PC_TV_ANGLE.Stdev,MP_STEP4.RFGEN_FORWARD.Mean,MP_STEP4.RFGEN_FORWARD.Stdev,MP_STEP4.SIH4_FLOW.Mean,MP_STEP4.SIH4_FLOW.Stdev,MP_STEP4_No_Shift.RFGEN_REFLECT.Max,MP_STEP5_to_Last_PWR_Lift.RFGEN_REFLECT.Max,MP_STEP4.EI2.Max,MP_STEP4.EI3.Max,MP_STEP4.EI4.Max,추가정보_정상.이상여부,추가정보_Data_Resume
P8TCVD060306,P8CB1700UL00,P8CB1700RC02,RUN_1ST_23,CB,2011-07-12 2:30,OK,339.6617,0.4735,359.5534,0.4975,133,0,0.116,0.007,33,0,1964.5556,4.0763,40022.6251,40.5969,24984.842,5.5822,0,23.5182,0.0103,10006.1039,1.6564,309.3451,52.6488,0.4785,2915.3463,2.5131,66008.9236,36.1515,28990.6849,5.1123,2.00E-04,34.3072,0.0451,22970.4825,2.578,6805.0388,1.7066,154.5504,123.2985,100.69,99.79,98.71,이상,GS4D
P8TCVD060308,P8CB1602EQ00,P8CB1602CD19,RUN_1ST_23,CB,2011-06-27 23:23,OK,337.2885,0.4534,358.1211,0.3265,130.7399,0.5056,0.1694,0.015,31.1556,0.3665,1989.7111,3.2447,40100.2665,17.5863,24985.1133,26.5687,0,20.1451,0.0244,9892.2053,1.4397,565.7084,52.4292,1.1518,2943.7217,9.5129,66100.9975,21.7601,28996.2329,15.4196,3.00E-04,30.7633,0.0378,22744.8235,2.8425,6782.9385,2.8942,165.7816,850.3937,100,100,100,이상,"PPD,RFRS_NG"
P8TCVD060306,P8GA1700EM00,P8GA1700DC12,RUN_1ST_23,GA,2011-07-11 23:18,NG,337.5691,0.4956,358.8441,0.3631,132,0,0.1643,0.008,29,0,1959.2889,3.929,40007.4874,33.438,24985.9271,6.1116,0,23.1404,0.0064,10005.819,1.7146,292.7425,47.1561,0.6605,2921.2634,2.128,66008.2804,36.5555,28990.6551,5.1583,2.00E-04,33.696,0.061,22970.5807,2.7817,6803.0365,2.2061,247.8179,221.4491,101.45,100.73,99.77,이상,GS4D
P8TCVD060308,P8CB1602A600,P8CB16028W03,RUN_1ST_23,CB,2011-06-26 10:29,OK,339.6256,0.4844,359.466,0.4992,138,0,0.1439,0.012,41.7955,0.408,1976.8182,4.9334,40102.0459,38.6746,24988.0003,19.0809,0,21.1266,0.0176,9892.419,1.7271,479.5215,69.0516,0.6385,2923.4413,3.9133,66108.6165,24.1005,28995.1023,13.8643,3.00E-04,31.8936,0.0629,22743.7665,2.8671,6785.052,2.0808,224.1348,133.5531,99.74,99.87,99.28,이상,"PPD,RFRS_NG"
P8TCVD060308,P8GA1600M100,P8GA1600L507,RUN_1ST_23,GA,2011-06-26 22:54,NG,336.4418,0.497,358.5723,0.4951,138,0,0.1465,0.012,32.7778,0.4204,1975.2667,5.2414,40098.9644,34.5194,24986.0628,24.2625,0,20.4304,0.0122,9892.246,1.9108,690.4718,55.467,1.0182,2943.1368,2.3275,66104.1415,24.7356,28994.4046,13.4287,3.00E-04,30.9982,0.057,22743.7093,2.655,6783.0321,1.8296,214.1244,114.7531,99.82,100.06,99.03,이상,"PPD,RFRS_NG"
P8TCVD060309,P8CB17002N00,P8CB17000J09,RUN_1ST_23,CB,2011-07-03 4:43,OK,339.547,0.4982,359.4718,0.4996,131,0,0.0839,0.004,26,0,1850.2444,3.3382,40051.761,10.5221,25013.6659,8.8618,0,22.7133,0.0115,9847.8504,1.5529,3640.3589,38.788,0.4097,2672.318,2.6814,66036.4191,33.5103,29020.5988,6.6689,2.00E-04,32.9797,0.0635,22617.2938,2.4917,6804.3515,2.3073,99.6155,439.9683,99.04,99.1,99.09,이상,"GS5D,RFM_NG"
P8TCVD060306,P8CB1700V600,P8CB1700TS12,RUN_1ST_23,CB,2011-07-12 8:00,NG,337.2116,0.4088,358.6397,0.4805,133,0,0.128,0.008,26,0,1961.6136,3.2723,40002.6635,38.6001,24984.7403,4.991,0,22.9741,0.0115,10005.4519,1.6981,271.5009,42.7854,1.1301,2917.2927,2.0561,66004.5288,35.8476,28990.3127,6.9265,3.00E-04,33.5493,0.0654,22970.411,2.7042,6804.6294,1.749,215.3452,250.5036,100.57,99.77,98.81,이상,GS4D
P8TCVD060309,P8GA17003R00,P8GA17002V17,RUN_1ST_23,GA,2011-07-04 6:44,NG,338.8922,0.5644,359.3677,0.4826,131,0,0.0934,0.004,29.8222,0.3866,1841.3778,5.3525,40049.645,11.7785,25011.6991,7.3903,0,23.1949,0.0099,9858.0643,1.5917,3507.5383,43.6221,0.486,2655.3318,5.5603,66035.5078,35.8704,29019.6143,6.733,2.00E-04,33.7214,0.0719,22647.0566,6.154,6805.4978,1.7417,104.7427,424.0982,99.67,99.52,98.91,이상,"GS5D,RFM_NG"
P8TCVD060306,P8CB1700VG00,P8CB1700U209,RUN_1ST_23,CB,2011-07-12 10:56,NG,339.4793,0.5,359.3864,0.4873,135.0066,0.0812,0.1139,0.007,32.1333,0.3438,1962.8222,4.058,40028.1593,32.3055,24986.0628,4.4798,0,23.4367,0.01,10005.4528,2.0093,354.2697,52.4167,0.5597,2919.1961,3.2134,66010.6064,29.5235,28990.0878,5.1571,2.00E-04,34.2464,0.0684,22970.2777,2.9728,6804.9302,1.2362,201.6725,355.2463,99.96,99.48,98.6,이상,GS4D
P8TCVD060308,P8GA1600P100,P8GA1600M709,RUN_1ST_23,GA,2011-06-28 2:31,NG,339.6623,0.4733,359.4763,0.4998,134,0,0.1794,0.016,38.1136,0.321,1991.0909,3.5557,40090.8924,26.5892,24985.5726,22.8753,0,20.8223,0.0114,9892.0444,1.6734,557.6512,64.4742,0.7108,2959.3146,2.5789,66106.4157,28.3916,28995.4318,10.9857,3.00E-04,31.6308,0.0647,22743.2679,2.5182,6783.6765,1.4261,221.6932,313.984,99.44,100.21,100.52,이상,"PPD,RFRS_NG"
P8TCVD060308,P8FA1600HL00,P8FA1600H015,RUN_1ST_23,FA,2011-06-25 12:33,NG,339.5866,0.4928,359.3736,0.4841,138,0,0.149,0.012,39.2093,0.4116,1979.8605,6.0379,40096.413,24.2369,24985.9823,17.9794,0,20.864,0.0169,9893.0258,1.7062,472.9293,65.4953,0.6186,2946.5093,3.7862,66110.4484,24.9544,28994.7381,12.5713,2.00E-04,31.6044,0.0445,22742.7023,3.1977,6784.1508,2.677,229.262,253.6776,98.42,99.83,100.24,이상,"PPD,RFRS_NG"
P8TCVD060306,P8GA1700EE00,P8GA1700D801,RUN_1ST_23,GA,2011-07-11 22:25,NG,339.4993,0.5004,359.4708,0.4995,132,0,0.1076,0.007,34,0,1968.4,4.0023,40018.0675,46.341,24984.5029,5.8012,0,23.7769,0.0152,10006.6736,1.8786,289.5685,53.6439,0.48,2919.2976,2.3855,66008.8879,35.0686,28989.5832,7.2484,2.00E-04,34.6213,0.0471,22971.072,3.2263,6803.0067,2.426,248.5503,215.8335,101.96,100.54,99.04,이상,GS4D
P8TCVD060309,P8CB17002J00,P8CB17000D10,RUN_1ST_23,CB,2011-07-03 3:00,OK,338.196,0.405,358.79,0.5002,129,0,0.0733,0.003,18,0,1895.6818,2.2075,40043.7815,11.9773,25009.0865,8.7441,0,21.9661,0.0108,9860.7481,1.6261,3874.7482,26.3394,1.9871,2695.8349,31.1371,66029.3423,33.3967,29018.9344,5.6023,1.00E-04,32.2366,0.0643,22619.1476,20.5206,6803.7354,2.7818,169.6881,255.875,100,100,100,이상,"GS5D,RFM_NG"
